name;brand;salePriceU;diagonal;resolution;vROM;vSSD;matrix
Ноутбук Legion Pro 5 Gen 8 (82WK00BERK);Lenovo;23877600;16";2560х1600;32 ГБ;1 Тб;IPS
Ноутбук 21BR00DRRT;Lenovo;21296700;;1920х1200;16 ГБ;1024 Гб;
Ноутбук Legion Pro 5 Gen 8 (82WK008FRK);Lenovo;20019100;16";2560х1600;32 ГБ;1 Тб;IPS
Ноутбук T16 G1;Lenovo;16840400;16";1920х1200;8 ГБ;512 Гб;
Ноутбук 21AH0037PB;Lenovo;16738500;;1920х1200;8 ГБ;256 Гб;
Ноутбук Legion Slim 5 16APH8 [82Y9001NRK];lenovo;15593600;16";2560x1600;32;1 Тб;IPS
Ноутбук Legion Pro 5 Gen 8 (82WK003URK);Lenovo;15263800;16";2560х1600;16 ГБ;1 Тб;IPS
Ноутбук Legion Slim 7 16IRH8 [82Y3001FRK];lenovo;15135000;16";3200x2000;32;1 Тб;IPS
Ноутбук для учёбы для работы ThinkBook RTX 3060;lenovo;14457900;16";2560x1600;32 ГБ;1024 Гб;IPS
Ноутбук для учёбы для работы ThinkBook RTX 3060;lenovo;14457900;16";2560x1600;32 ГБ;1024 Гб;IPS
Ноутбук Yoga Slim 7 ProX 14IAH7 [82TK00BPRU];lenovo;13606200;14.5";3072x1920;32;1 Тб;IPS
Ноутбук Legion 5 Gen 7 (82RB00ERRK);Lenovo;13355600;15.6";2560х1440;16 ГБ;1 Тб;IPS
Ноутбук T14 Gen 2;Lenovo;13068500;14";1920х1080;8 ГБ;256 Гб;
Ноутбук 20W0A000CD;Lenovo;12317700;14";1920х1080;16 ГБ;512 Гб;
Ноутбук Legion Slim 5 16APH8 [82Y9000YRK];lenovo;11695200;16";2560x1600;16;1 Тб;IPS
Ноутбук 21DJ00D2PB;Lenovo;11124700;15.6";1920х1080;8 ГБ;256 Гб;
Ноутбук 20VE0042RM;Lenovo;10508600;15.6";1920х1080;16 ГБ;1024 Гб;
Ноутбук 20V30010RU;Lenovo;9574100;15.6";1920х1080;8 ГБ;512 Гб;
Legion Slim 5 16APH8 [82Y9001PRK];lenovo;9390400;16";1920x1200;16 ГБ;512 Гб;IPS
Ноутбук IdeaPad 5 Pro 16IAH7 [82SK006KRK];lenovo;8484700;16";2560x1600;16;1 Тб;IPS
Ноутбук IdeaPad 5 Pro 16ARH7 [82SN008PRK];lenovo;8408300;16";2560x1600;16;512 Гб;IPS
Ноутбук IdeaPad 5 Pro 16ARH7 [82SN008QRK];lenovo;8102500;16";2560x1600;16;512 Гб;IPS
Ноутбук LOQ 15IRH8 [82XV0049RK];lenovo;8026100;15.6";1920x1080;16;512 Гб;IPS
Ноутбук Legion 5 15ACH6 [82JW00PLRU];lenovo;7491000;15.6";1920x1080;16;512 Гб;IPS
Ноутбук IdeaPad 3 Gen 7 (82RN0006RU);Lenovo;7355500;15.6";1920х1080;;;IPS
Ноутбук Legion 5 15IMH6 [82NL0000RU];lenovo;6803000;15.6";1920x1080;16;512 Гб;IPS
Ноутбук IdeaPad 3 Gen 6 (82H8024SRK);Lenovo;6696700;15.6";1920х1080;12 ГБ;256 Гб;TN
Ноутбук IdeaPad 5 Pro 14ARH7 [82SJ006CRK];lenovo;6497300;14";2880x1800;16;1 Тб;IPS
Ноутбук IdeaPad Gaming 3 15ACH6 [82K201WERK];lenovo;6344400;15.6";1920x1080;8;1 Тб;IPS
Ноутбук IdeaPad Gaming 3 15ARH7 [82SB00AXRK];lenovo;6191500;15.6";1920x1080;8;512 Гб;IPS
Ноутбук IdeaPad Slim 5 14IRL8 [82XD001YRK];lenovo;5285100;14";1920x1200;8;512 Гб;IPS
Ноутбук Thinkpad E480 Core i5-8250U Русская клавиатура;Lenovo;4930800;14";1920х1080;16 ГБ;512 Гб;
Ноутбук IdeaPad Slim 5 14ABR8 [82XE0001RK];lenovo;3480600;14";1920x1200;8;256 Гб;IPS
Ноутбук IdeaPad 1 15ADA7 [82R10056RK];lenovo;3439700;15.6";1920x1080;8;512 Гб;IPS
THINKPAD X1 Yoga (core i5 8Gb 256Gb) сенсорный экран;lenovo;3276000;14;1920х1080;8 ГБ;256 Гб;IPS
Ноутбук IdeaPad 3 15ABA7 [82RN00AJRK];lenovo;3016500;15.6";1920x1080;4;128 Гб;TN
Ноутбук ThinkPad X380 Yoga;Lenovo;2691300;;FullHD 1920х1080;8 Gb;;
Ноутбук IdeaPad Slim 3 14AMN8 [82XN003ARK];lenovo;2675300;14";1920x1080;8;256 Гб;TN
T470 i5-7300u, 8Gb, SSD 256Gb, 14" Full HD IPS, (RFB);Lenovo;2638000;;;;;